DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,LOA,TYPENAME
2019-11-27 11:14:36,525888888,1.05451,104.21071,345.1,0.1,511,8,9744972,BERKAT ANUGERAH 05,YBFP,80,70,5,7,7,2.2,TG UBAN,11-27 11:00,75,Oil Products Tanker
2019-11-27 11:14:38,533130712,1.33765,104.10489,3.1,0.1,26,1,9132844,SARANA PRIMA,9MWY3,80,57,12,3,8,3.4,TG PENGERANG,05-30 16:00,69,Bitumen Tanker
2019-11-27 11:14:38,533000330,1.33633,104.09288,54.0,0.0,106,0,9380025,NAUTICA JOHOR BAHRU,9MFE6,80,81,4,5,12,4.9,JOHOR ANCHORAGE,11-26 19:00,85,Oil Products Tanker
2019-11-27 11:14:38,405000249,1.25682,104.21777,83.0,12.4,80,0,9217682,ZAHAB JAHAN,S2AO2,70,160,30,20,11,7.0,TANJUNG KAMPEH,11-28 18:00,190,Bulk Carrier
2019-11-27 11:14:39,538005592,1.32299,104.33854,226.1,7.9,229,0,9308417,JEJU ISLAND,V7JM2,79,205,17,15,15,9.0,SG PEBGA,11-27 14:00,222,Container Ship
2019-11-27 11:14:40,319118900,1.28117,104.30551,81.4,14.0,80,0,9781114,STOLT SATSUKI,ZGGU2,82,106,21,20,0,6.0,HIGH SEA,11-29 06:00,127,Chemical/Oil Products Tanker
2019-11-27 11:14:40,373727000,1.57980,104.58140,198.0,12.1,200,0,9324124,HL BALTIMORE,H8PX,70,252,37,27,18,8.5,SGSIN,11-28 07:00,289,Bulk Carrier
2019-11-27 11:14:41,636017493,1.27793,104.16896,261.3,13.4,262,0,9737709,NAUTICAL ANNE,D5LF8,70,173,26,9,23,10.5,SUEZ CANAL,12-13 04:00,199,Bulk Carrier
2019-11-27 11:14:41,256728000,1.36999,104.63320,129.5,11.8,128,0,9670119,HARIS,9HA3991,70,168,17,6,24,9.8,JAKARTA,11-30 00:01,185,Container Ship
2019-11-27 11:14:41,356565000,1.27413,104.09745,262.0,10.3,262,0,9444261,MOL PREMIUM,3EOJ7,70,220,73,28,12,13.7,SINGAPORE PEBGA,11-27 12:00,293,Container Ship
2019-11-27 11:14:41,376307000,1.34237,104.40511,52.2,12.5,53,0,9132703,WEST SCENT,J8B5348,70,118,28,20,5,8.5,HUMEN,12-02 18:00,146,Container Ship
2019-11-27 11:14:41,574383000,1.51713,104.55775,222.0,10.5,220,2,9404156,PETROLIMEX12,3WWL,80,102,27,10,10,6.3,EPBGC,11-27 20:00,129,Chemical/Oil Products Tanker
2019-11-27 11:14:42,353603000,1.26858,104.07663,260.0,7.7,262,0,9472749,EASTERN QUEST,3FUP3,82,92,22,14,4,6.1,SG SIN(PGBG),11-28 13:30,114,Chemical/Oil Products Tanker
2019-11-27 11:14:42,563546000,1.30809,104.06847,0.0,0.0,511,0,9087128,MARINE PRESTIGE,S6HA,80,37,16,5,4,0.0,,00-00 24:60,53,Oil Products Tanker
2019-11-27 11:14:42,355902000,1.19439,105.02123,128.0,15.4,127,0,9202223,UNI-PREMIER,H3YG,73,141,41,13,15,8.6,MY TPP>ID SUB,11-30 02:00,182,Container Ship
