target_number,lon,lat,xpixel,ypixel,detecttime,inc_ang,reliability,nr_pixels,length,width,size_class,heading_range,heading_north,lwh_reliability,manual_add,noise,significance,threshold_tile,max_value,false_alarm_cause
101,104.185418,1.025522,841.0,1116.0,2019-11-27 11:17:22.519,31.206,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,0.856,4.635","0.0,0.0,131.598,354.673","0,0,57,443",
102,104.195574,1.021735,943.0,1053.0,2019-11-27 11:17:22.519,31.267,0,68,194.0,45.0,L,0.0,149.0,false,false,0,"0.0,0.0,12.526,12.977","0.0,0.0,129.856,350.088","0,0,448,1130",
103,104.212355,1.039853,1167.0,1207.0,2019-11-27 11:17:22.519,31.401,0,63,124.0,50.0,L,0.0,179.0,false,false,0,"0.0,0.0,11.208,29.985","0.0,0.0,128.682,247.962","0,0,406,1918",
104,104.156488,1.029088,534.0,1219.0,2019-11-27 11:17:22.519,31.022,0,243,773.0,71.0,L,0.0,8.0,false,false,0,"0.0,0.0,3.947,4.589","0.0,0.0,139.266,354.063","0,0,183,497",
105,104.152203,1.02059,468.0,1139.0,2019-11-27 11:17:22.519,30.982,0,267,289.0,113.0,L,0.0,163.0,false,false,0,"0.0,0.0,8.572,7.326","0.0,0.0,140.388,364.384","0,0,350,720",
106,104.145587,1.01051,373.0,1047.0,2019-11-27 11:17:22.519,30.925,0,423,394.0,139.0,L,0.0,62.0,false,false,0,"0.0,0.0,18.245,34.587","0.0,0.0,139.207,347.411","0,0,672,2951",
107,104.223052,1.033475,1269.0,1115.0,2019-11-27 11:17:22.519,31.462,0,9,37.0,23.0,S,0.0,106.0,false,false,0,"0.0,0.0,2.185,4.082","0.0,0.0,130.595,253.697","0,0,113,338",
108,104.222731,1.041168,1283.0,1197.0,2019-11-27 11:17:22.519,31.47,3,1719,808.0,247.0,L,0.0,13.0,false,false,0,"0.0,0.0,9.448,5.882","0.0,0.0,133.178,296.12","0,0,367,879",TP
109,104.634868,1.114592,5939.0,1042.0,2019-11-27 11:17:22.519,34.163,0,24,56.0,41.0,S,0.0,46.0,false,false,0,"0.0,0.0,8.305,9.779","0.0,0.0,108.323,305.317","0,0,250,718",
110,104.639411,1.117457,5995.0,1062.0,2019-11-27 11:17:22.519,34.195,0,59,81.0,67.0,M,0.0,45.0,false,false,0,"0.0,0.0,4.058,6.352","0.0,0.0,107.218,296.533","0,0,144,503",
111,104.634532,1.125346,5960.0,1157.0,2019-11-27 11:17:22.519,34.175,0,55,146.0,62.0,L,0.0,152.0,false,false,0,"0.0,0.0,5.271,3.759","0.0,0.0,106.903,336.702","0,0,180,391",
112,104.620498,1.124063,5804.0,1175.0,2019-11-27 11:17:22.519,34.088,0,18,60.0,28.0,S,0.0,163.0,false,false,0,"0.0,0.0,3.675,4.871","0.0,0.0,110.838,374.792","0,0,131,480",
113,105.799099,1.367705,19194.0,1093.0,2019-11-27 11:17:22.519,40.964,0,2,22.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,0.259,1.904","0.0,0.0,51.138,110.163","0,0,22,79",
114,106.238268,1.472015,24214.0,1208.0,2019-11-27 11:17:22.519,43.228,0,6,120.0,10.0,M,0.0,11.0,false,false,0,"0.0,0.0,1.529,1.662","0.0,0.0,92.139,385.539","0,0,72,295",
115,106.239996,1.470764,24230.0,1191.0,2019-11-27 11:17:22.519,43.235,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,1.056,1.526","0.0,0.0,90.638,372.503","0,0,59,274",
116,106.242388,1.471183,24257.0,1190.0,2019-11-27 11:17:22.519,43.247,0,5,118.0,23.0,M,0.0,86.0,false,false,0,"0.0,0.0,1.477,1.832","0.0,0.0,86.72,328.374","0,0,66,271",
117,105.024399,1.223534,10429.0,1316.0,2019-11-27 11:17:22.519,36.608,3,11,42.0,23.0,S,0.0,24.0,false,false,0,"0.0,0.0,1.041,3.62","0.0,0.0,80.208,205.123","0,0,50,225",AA
118,105.02334,1.22421,10419.0,1326.0,2019-11-27 11:17:22.519,36.602,3,51,104.0,48.0,M,0.0,8.0,false,false,0,"0.0,0.0,2.339,6.375","0.0,0.0,80.295,204.957","0,0,76,346",AA
119,106.244296,1.479237,24296.0,1271.0,2019-11-27 11:17:22.519,43.263,0,9,49.0,21.0,S,0.0,173.0,false,false,0,"0.0,0.0,1.636,2.678","0.0,0.0,85.537,325.693","0,0,68,361",
120,106.245282,1.484216,24318.0,1322.0,2019-11-27 11:17:22.519,43.273,0,169,390.0,129.0,L,0.0,21.0,false,false,0,"0.0,0.0,2.302,3.668","0.0,0.0,81.355,274.88","0,0,78,361",
121,104.782293,1.184584,7704.0,1451.0,2019-11-27 11:17:22.519,35.142,0,404,509.0,141.0,L,0.0,85.0,false,false,0,"0.0,0.0,1.673,4.031","0.0,0.0,100.727,213.142","0,0,79,276",
122,105.599328,1.365764,17014.0,1525.0,2019-11-27 11:17:22.519,39.93,0,121,436.0,61.0,L,0.0,135.0,false,false,0,"0.0,0.0,1.56,3.533","0.0,0.0,85.389,148.575","0,0,64,164",
123,105.644974,1.365671,17511.0,1421.0,2019-11-27 11:17:22.519,40.169,0,78,102.0,74.0,M,0.0,149.0,false,false,0,"0.0,0.0,23.694,35.662","0.0,0.0,76.408,162.845","0,0,477,1314",
