vds_target__boat__target_number,vds_target__boat__lon,vds_target__boat__lat,vds_target__boat__xpixel,vds_target__boat__ypixel,vds_target__boat__detecttime,vds_target__boat__inc_ang,vds_target__boat__reliability,vds_target__boat__false_alarm_cause,vds_target__boat__nr_pixels,vds_target__boat__length,vds_target__boat__width,vds_target__boat__size_class,vds_target__boat__heading_range,vds_target__boat__heading_north,vds_target__boat__lwh_reliability,vds_target__boat__manual_add,vds_target__boat__noise,vds_target__boat__significance,vds_target__boat__threshold_tile,vds_target__boat__max_value
1050,72.85499,18.898017,8949,12257,02:56.9,35.989,0,,142,241,56,L,0,5,FALSE,FALSE,0,"0.0,0.0,20.324,26.347","0.0,0.0,112.464,278.589","0,0,644,2182"
1051,72.851587,18.900789,8990,12234,02:56.9,36.011,0,,224,184,117,L,0,64,FALSE,FALSE,0,"0.0,0.0,44.416,48.637","0.0,0.0,111.761,234.769","0,0,1329,2745"
1052,72.864198,18.901428,8861,12203,02:56.9,35.942,0,,172,220,78,L,0,172,FALSE,FALSE,0,"0.0,0.0,36.531,70.96","0.0,0.0,117.375,320.645","0,0,1172,9913"
1053,72.868677,18.904902,8822,12157,02:56.9,35.921,0,,173,211,79,L,0,160,FALSE,FALSE,0,"0.0,0.0,25.953,17.003","0.0,0.0,118.112,325.033","0,0,850,2367"
1054,72.861574,18.911844,8910,12097,02:56.9,35.968,0,,74,179,41,L,0,8,FALSE,FALSE,0,"0.0,0.0,10.311,24.345","0.0,0.0,112.275,239.127","0,0,331,1442"
1055,72.870873,18.910943,8812,12088,02:56.9,35.915,0,,177,196,86,L,0,2,FALSE,FALSE,0,"0.0,0.0,45.609,79.548","0.0,0.0,117.113,303.061","0,0,1412,6973"
1056,72.876063,18.893164,8721,12268,02:56.9,35.866,0,,58,108,49,M,0,13,FALSE,FALSE,0,"0.0,0.0,19.686,67.193","0.0,0.0,117.758,321.606","0,0,638,9711"
1057,72.879398,18.894342,8689,12249,02:56.9,35.849,0,,68,115,57,M,0,134,FALSE,FALSE,0,"0.0,0.0,18.736,10.025","0.0,0.0,117.755,310.575","0,0,605,1013"
1058,72.874684,18.897803,8745,12221,02:56.9,35.879,0,,43,95,44,M,0,17,FALSE,FALSE,0,"0.0,0.0,27.244,9.27","0.0,0.0,119.074,1049.722","0,0,886,1692"
1059,72.8696,18.89802,8798,12229,02:56.9,35.908,0,,400,892,72,L,0,4,FALSE,FALSE,0,"0.0,0.0,25.664,69.459","0.0,0.0,120.064,977.969","0,0,851,10830"
1060,72.875993,18.901859,8740,12175,02:56.9,35.876,0,,65,102,60,M,0,35,FALSE,FALSE,0,"0.0,0.0,17.234,6.198","0.0,0.0,120.705,325.33","0,0,593,946"
1061,72.872648,18.904442,8780,12154,02:56.9,35.898,0,,70,97,67,M,0,161,FALSE,FALSE,0,"0.0,0.0,9.577,6.204","0.0,0.0,120.027,328.826","0,0,349,905"
1062,72.87804,18.903363,8722,12155,02:56.9,35.867,0,,91,140,63,L,0,146,FALSE,FALSE,0,"0.0,0.0,16.079,17.09","0.0,0.0,120.062,318.787","0,0,548,1777"
1063,72.876251,18.905034,8744,12141,02:56.9,35.878,0,,157,170,89,L,0,136,FALSE,FALSE,0,"0.0,0.0,23.908,23.478","0.0,0.0,119.839,321.141","0,0,787,2420"
1064,72.875524,18.908121,8758,12109,02:56.9,35.886,0,,56,94,54,M,0,8,FALSE,FALSE,0,"0.0,0.0,21.938,47.721","0.0,0.0,118.554,307.803","0,0,707,4352"
1065,72.878545,18.909177,8729,12092,02:56.9,35.87,0,,38,76,46,M,0,8,FALSE,FALSE,0,"0.0,0.0,16.172,34.875","0.0,0.0,119.193,268.341","0,0,542,2246"
1066,72.881081,18.908801,8702,12091,02:56.9,35.856,0,,21,53,36,S,0,2,FALSE,FALSE,0,"0.0,0.0,7.338,7.834","0.0,0.0,118.697,263.181","0,0,267,559"
1067,72.875509,18.910898,8764,12079,02:56.9,35.889,0,,94,140,65,L,0,155,FALSE,FALSE,0,"0.0,0.0,17.527,19.054","0.0,0.0,118.086,300.563","0,0,578,1663"
1068,72.809774,18.932168,9488,11981,02:56.9,36.278,3,AA,32,88,36,M,0,179,FALSE,FALSE,0,"0.0,0.0,2.89,4.619","0.0,0.0,101.765,171.426","0,0,110,231"
1069,72.803192,18.941695,9576,11892,02:56.9,36.325,0,,4,22,22,S,0,100,FALSE,FALSE,0,"0.0,0.0,1.618,7.59","0.0,0.0,99.939,155.184","0,0,70,303"
