"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2018-10-23 00:59:03",419001104,18.92913,72.84082,148.6,1.9,135,412000045,"WARSHIP 412        ","AWOO",0,18,30,4,4,0.0,"","00-00 24:60"
"2018-10-23 00:59:04",419001117,18.92811,72.86803,166.4,0.1,171,9126039,"TAG 20              ","AWPB   ",70,21,67,9,9,5.0,"BFL                 ","08-30 14:00"
"2018-10-23 00:59:05",636092808,18.91553,72.87600,57.7,0.1,187,9385300,"ALTUS UBER          ","D5PA9  ",34,30,73,10,9,5.6,"MUMBAI              ","05-30 20:01"
"2018-10-23 00:59:05",419000339,18.91519,72.91108,199.2,0.1,234,0,"T203                ","AVMZ   ",90,5,8,2,2,0.9,"=                   ","00-00 24:60"
"2018-10-23 00:59:05",419001353,18.94140,72.91995,253.9,6.6,234,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:07",419059400,18.94078,72.85760,109.9,0.0,511,8217568,"OCEAN CREST         ","AUJV   ",52,10,26,3,7,3.9,"P&V MUMBAI ANCHORAGE","10-21 21:00"
"2018-10-23 00:59:07",419093300,18.94535,72.86298,0.0,0.0,511,9253557,"OFFSHORE SUPPORTER","AVCZ",90,18,38,10,4,4.0,"P & V","05-26 07:00"
"2018-10-23 00:59:08",419047300,18.95655,72.84838,0.0,0.0,511,8873439,"MV RAAVI","AUEJ",90,0,34,0,7,1.5,"MUMBAI","05-27 10:00"
"2018-10-23 00:59:08",419001084,18.96018,72.86843,314.4,0.1,80,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:10",419055600,18.94592,72.85707,13.3,2.6,10,9142679,"ANTAREJA            ","AUIA   ",33,24,23,5,6,2.8,"MUMBAI              ","09-26 08:00"
"2018-10-23 00:59:10",419697000,18.94630,72.87069,0.0,0.0,511,8407979,"MV SAGA","AUUD",90,10,42,5,10,3.2,"MUMBAI","12-27 12:32"
"2018-10-23 00:59:10",419074100,18.95485,72.85389,157.0,0.1,511,8924563,"MEENAKSHI           ","AUSM   ",99,0,0,0,0,2.0,"MUMBAI              ","07-03 10:08"
"2018-10-23 00:59:10",565653000,18.93518,72.89652,58.0,11.6,58,9326421,"WAN HAI 509         ","9VJJ7  ",70,209,59,11,21,12.3,"NSA                 ","10-23 06:30"
"2018-10-23 00:59:10",477202200,18.93431,72.36294,156.0,0.1,61,9804289,"COSNEW LAKE","VRSA3",89,278,55,35,25,12.0,"MUMBAI","10-07 12:00"
"2018-10-23 00:59:11",419076800,18.94720,72.86117,97.6,0.1,511,9510163," OFFSHORE RUNNER    ","AURQ   ",90,8,39,7,3,2.5,"TAPTI               ","05-28 16:00"
"2018-10-23 00:59:11",419001175,18.91604,72.91138,360.0,0.0,210,0,"MODAK","AWRH",0,0,0,0,0,2.3,"MUMBAI","01-01 00:00"
"2018-10-23 00:59:12",419900630,18.95013,72.85629,333.2,3.1,511,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:12",419901305,18.95161,72.86292,103.3,2.0,511,0,"M.V. SHARAVATI","8TYC",70,55,15,6,7,3.5,"MUMBAI","03-27 00:00"
